"conflict_name","N","alpha","xmin","p","tail"
"Government of Burundi - Civilians",142,1.61826878418818,4.629,0.066,82.807
"Government of Central African Republic - Civilians",106,1.88020400734556,1.564,0.501,84.118
"Government of Chad - Civilians",50,1.84101733449416,5.032,0.574,29.648
"Government of Colombia - Civilians",50,3.1595841747445,4.866,0.454,25.242
"Government of Congo - Civilians",36,2.13870550359948,2.058,0.092,25.108
"Government of DR Congo (Zaire) - Civilians",415,1.64454118929396,1.179,0.168,392.792
"Government of Ethiopia - Civilians",286,2.00087108851586,3.031,0.755,156.761
"Government of Guatemala - Civilians",175,2.40259909171706,1.043,0.022,170.194
"Government of Guinea - Civilians",32,1.95758616747844,1.148,0.762,30.269
"Government of India - Civilians",59,2.18374388477377,2.631,0.296,36.035
"Government of India-Government of Pakistan",318,2.04835222205975,2.091,0.057,171.6
"Government of Indonesia - Civilians",303,2.00995256157457,2.055,0.316,169.891
"Government of Iraq - Civilians",62,1.44398340844774,1.544,0.002,57.711
"Government of Iraq-Government of Kuwait",57,1.73705947360453,13.518,0.607,35.744
"Government of Israel - Civilians",209,2.41612317362274,1.023,0.028,205.759
"Government of Ivory Coast - Civilians",106,1.77469078213998,1.127,0.263,101.167
"Government of Kenya - Civilians",65,3.56884076995627,2.641,0.885,38.907
"Government of Liberia - Civilians",74,1.68902930546793,10.884,0.76,40.598
"Government of Mali - Civilians",30,1.80253469208853,2.808,0.218,24.531
"Government of Myanmar (Burma) - Civilians",1247,2.26883215456704,2.144,0.271,505.145
"Government of Nepal - Civilians",677,2.68349142670279,1.593,0.592,408.074
"Government of Nigeria - Civilians",173,1.72760241316678,1.171,0.093,163.66
"Government of Philippines - Civilians",75,2.76080339251121,1.781,0.72,45.389
"Government of Russia (Soviet Union) - Civilians",139,2.27552696762371,11.329,0.409,45.7
"Government of Rwanda - Civilians",236,1.3650402159064,15.505,0.191,94.149
"Government of Serbia (Yugoslavia) - Civilians",51,2.41679026344206,17.782,0.044,20.54
"Government of Sierra Leone - Civilians",106,1.94659488070954,2.283,0.717,65.794
"Government of Somalia - Civilians",73,3.28998292918752,1.952,0.097,35.496
"Government of South Africa - Civilians",321,3.322378331344,1.011,0,318.242
"Government of South Sudan - Civilians",113,2.03514916260313,3.097,0.184,58.763
"Government of Sudan - Civilians",503,1.96737986856644,12.161,0.169,139.163
"Government of Togo - Civilians",97,2.19645913435165,2.213,0.417,55.517
"Government of Uganda - Civilians",42,1.7398914751342,1.194,0.19,39.71
"Government of Venezuela - Civilians",471,3.39313430599216,1.007,0.625,468.186
